stop1;stop2;temps
StopPoint:OCEICE-87113001;StopPoint:OCEICE-87193003;101
StopPoint:OCEICE-80290551;StopPoint:OCEICE-80142281;182
StopPoint:OCEICE-80142778;StopPoint:OCEICE-87212027;140
StopPoint:OCEICE-87182063;StopPoint:OCEICE-87300822;218
StopPoint:OCEICE-87300822;StopPoint:OCEICE-87300863;242
StopPoint:OCEICE-87300863;StopPoint:OCEICE-87725002;300
StopPoint:OCEICE-87725002;StopPoint:OCEICE-87723197;370
StopPoint:OCEICE-87723197;StopPoint:OCEICE-87318964;436
StopPoint:OCEICE-87318964;StopPoint:OCEICE-87319012;460
StopPoint:OCEICE-87319012;StopPoint:OCEICE-87751008;472
StopPoint:OCEICE-87751008;StopPoint:OCEICE-87319012;14
StopPoint:OCETGV INOUI-71718010;StopPoint:OCETGV INOUI-71793000;42
StopPoint:OCETGV INOUI-71793000;StopPoint:OCETGV INOUI-71043075;59
StopPoint:OCETGV INOUI-71043075;StopPoint:OCETGV INOUI-87784009;94
StopPoint:OCELyria-85010082;StopPoint:OCELyria-87745000;33
StopPoint:OCELyria-87745000;StopPoint:OCELyria-87743005;83
StopPoint:OCELyria-87743005;StopPoint:OCELyria-87686006;193
StopPoint:OCELyria-87743351;StopPoint:OCELyria-87743005;88
StopPoint:OCETGV INOUI-88140010;StopPoint:OCETGV INOUI-87223263;59
