stop1;stop2;temps
StopPoint:OCETrain TER-85043000;StopPoint:OCETrain TER-85001594;11
StopPoint:OCETrain TER-87744078;StopPoint:OCETrain TER-87746701;6
StopPoint:OCETrain TER-87746701;StopPoint:OCETrain TER-87746719;15
StopPoint:OCETrain TER-87746719;StopPoint:OCETrain TER-87746727;19
StopPoint:OCETrain TER-87746727;StopPoint:OCETrain TER-87746735;23
StopPoint:OCETrain TER-87746735;StopPoint:OCETrain TER-87746743;26
StopPoint:OCETrain TER-87746743;StopPoint:OCETrain TER-87746750;31
StopPoint:OCETrain TER-87746750;StopPoint:OCETrain TER-87746768;36
StopPoint:OCETrain TER-87746768;StopPoint:OCETrain TER-87746776;38
StopPoint:OCETrain TER-87746776;StopPoint:OCETrain TER-87746818;41
StopPoint:OCETrain TER-87746818;StopPoint:OCETrain TER-87462085;43
StopPoint:OCETrain TER-87462085;StopPoint:OCETrain TER-87746784;60
StopPoint:OCETrain TER-87746784;StopPoint:OCETrain TER-87746826;64
StopPoint:OCETrain TER-87746826;StopPoint:OCETrain TER-87746834;69
StopPoint:OCETrain TER-87746834;StopPoint:OCETrain TER-87746842;72
StopPoint:OCETrain TER-87746842;StopPoint:OCETrain TER-87746859;78
StopPoint:OCETrain TER-87746859;StopPoint:OCETrain TER-87746867;84
StopPoint:OCETrain TER-87746867;StopPoint:OCETrain TER-87746883;89
StopPoint:OCETrain TER-87746883;StopPoint:OCETrain TER-87746875;93
StopPoint:OCETrain TER-87746875;StopPoint:OCETrain TER-87746883;3
StopPoint:OCETrain TER-87286716;StopPoint:OCETrain TER-87281055;11
StopPoint:OCETrain TER-87281055;StopPoint:OCETrain TER-87286732;14
StopPoint:OCETrain TER-87286732;StopPoint:OCETrain TER-87286542;18
StopPoint:OCETrain TER-87286542;StopPoint:OCETrain TER-88857040;27
StopPoint:OCETrain TER-88857040;StopPoint:OCETrain TER-88960080;36
StopPoint:OCETrain TER-88960080;StopPoint:OCETrain TER-88857040;17
StopPoint:OCETrain TER-88720090;StopPoint:OCETrain TER-88718528;6
StopPoint:OCETrain TER-88718528;StopPoint:OCETrain TER-88718379;10
StopPoint:OCETrain TER-88718379;StopPoint:OCETrain TER-88718296;15
StopPoint:OCETrain TER-88718296;StopPoint:OCETrain TER-88718114;20
StopPoint:OCETrain TER-88718114;StopPoint:OCETrain TER-88717124;24
StopPoint:OCETrain TER-88717124;StopPoint:OCETrain TER-88716886;30
StopPoint:OCETrain TER-88716886;StopPoint:OCETrain TER-88716704;33
StopPoint:OCETrain TER-88716704;StopPoint:OCETrain TER-88716621;36
StopPoint:OCETrain TER-88716621;StopPoint:OCETrain TER-88716472;39
StopPoint:OCETrain TER-88716472;StopPoint:OCETrain TER-88716050;43
StopPoint:OCETrain TER-88716050;StopPoint:OCETrain TER-87295006;56
StopPoint:OCETrain TER-88850010;StopPoint:OCETrain TER-88850685;5
StopPoint:OCETrain TER-88850685;StopPoint:OCETrain TER-87286872;13
StopPoint:OCETrain TER-87286872;StopPoint:OCETrain TER-87286864;18
StopPoint:OCETrain TER-87286864;StopPoint:OCETrain TER-87287102;25
StopPoint:OCETrain TER-87287102;StopPoint:OCETrain TER-87286005;30
StopPoint:OCETrain TER-87286831;StopPoint:OCETrain TER-87287102;25
StopPoint:OCETrain TER-87286062;StopPoint:OCETrain TER-87286831;8
StopPoint:OCETrain TER-87286856;StopPoint:OCETrain TER-87286864;14
StopPoint:OCETrain TER-87474007;StopPoint:OCETrain TER-87474239;12
StopPoint:OCETrain TER-87474239;StopPoint:OCETrain TER-87474338;35
StopPoint:OCETrain TER-87474338;StopPoint:OCETrain TER-87473181;52
StopPoint:OCETrain TER-87473181;StopPoint:OCETrain TER-87473207;67
StopPoint:OCETrain TER-87473207;StopPoint:OCETrain TER-87473009;85
StopPoint:OCETrain TER-87473009;StopPoint:OCETrain TER-87473116;92
StopPoint:OCETrain TER-87473116;StopPoint:OCETrain TER-87473108;99
StopPoint:OCETrain TER-87473108;StopPoint:OCETrain TER-87473090;105
StopPoint:OCETrain TER-87473090;StopPoint:OCETrain TER-87473082;111
StopPoint:OCETrain TER-87473082;StopPoint:OCETrain TER-87473074;118
StopPoint:OCETrain TER-87473074;StopPoint:OCETrain TER-87473066;125
StopPoint:OCETrain TER-87473066;StopPoint:OCETrain TER-87473058;129
StopPoint:OCETrain TER-87473058;StopPoint:OCETrain TER-87471086;136
StopPoint:OCETrain TER-87471086;StopPoint:OCETrain TER-87471078;143
StopPoint:OCETrain TER-87471078;StopPoint:OCETrain TER-87471003;157
StopPoint:OCETrain TER-87694307;StopPoint:OCETrain TER-87694612;10
StopPoint:OCETrain TER-87694612;StopPoint:OCETrain TER-87694620;13
StopPoint:OCETrain TER-87694620;StopPoint:OCETrain TER-87694638;17
StopPoint:OCETrain TER-87694638;StopPoint:OCETrain TER-87694646;22
StopPoint:OCETrain TER-87694646;StopPoint:OCETrain TER-87694653;28
StopPoint:OCETrain TER-87694653;StopPoint:OCETrain TER-87694687;42
StopPoint:OCETrain TER-87713586;StopPoint:OCETrain TER-87712026;11
StopPoint:OCETrain TER-87712026;StopPoint:OCETrain TER-87713578;15
StopPoint:OCETrain TER-87713560;StopPoint:OCETrain TER-87713545;28
StopPoint:OCETrain TER-87713537;StopPoint:OCETrain TER-87713529;40
StopPoint:OCETrain TER-87713529;StopPoint:OCETrain TER-87713503;49
StopPoint:OCETrain TER-87713503;StopPoint:OCETrain TER-87713040;58
StopPoint:OCETrain TER-87710731;StopPoint:OCETrain TER-87300863;15
StopPoint:OCETrain TER-87300863;StopPoint:OCETrain TER-87710731;7
StopPoint:OCETrain TER-87783282;StopPoint:OCETrain TER-87783290;6
StopPoint:OCETrain TER-87783290;StopPoint:OCETrain TER-87783308;11
StopPoint:OCETrain TER-87783308;StopPoint:OCETrain TER-87783324;25
StopPoint:OCETrain TER-87783324;StopPoint:OCETrain TER-87783340;40
StopPoint:OCETrain TER-87783340;StopPoint:OCETrain TER-87783365;54
StopPoint:OCETrain TER-87783365;StopPoint:OCETrain TER-87783001;111
