nom;latitude;longitude
pont sur seine fleming;48.513056;3.598889
pont sur seine place saint martin;48.516667;3.597222
nogent sur seine avenue du genaral de gaulle;48.492222;3.509444
nogent sur seine theatre;48.4925;3.502222
crancey route nationale;48.514444;3.639444
surins carrrefour rn143 rd80;46.840776;1.57038
palluau mairie;46.944167;1.314722
flere la riviere mairie;47.020833;1.107222
lille europe;50.639686;3.0749
eycheil;42.973915;1.153951
serrieres montee;45.333056;4.765278
davezieux eglise;45.255556;4.705278
orcieres 1850 gare routiere;44.69627;6.32195
grignan avenue chapon;44.41837;4.91041
valreas;44.387464;4.991289
nyons cave cooperative;44.36005;5.13275
valaurie;44.421046;4.816421
st pantaleon rd 541;44.396827;5.043832
venterol gare;44.395462;5.084841
allan menuiserie;44.50056;4.78688
taulignan;44.444046;4.979172
paris gare du nord;48.880398;2.354973
dammartin   juilly   saint mard;49.032127;2.698938
le plessis belleville;49.096125;2.74467
nanteuil le haudouin;49.142578;2.794272
crepy en valois;49.23122;2.888442
vaumoise;49.233676;2.988615
villers cotterets;49.250013;3.093691
longpont;49.272673;3.230203
vierzy;49.290982;3.277252
soissons;49.369167;3.338333
crouy;49.403808;3.356696
margival;49.439272;3.402891
jaux;49.386456;2.777204
esches;49.212509;2.170807
longueil annel;49.466992;2.863161
corcy;49.255362;3.216049
creil;49.263346;2.467837
chantilly   gouvieux;49.186982;2.45957
laigneville;49.29295;2.449257
liancourt   rantigny;49.324511;2.445653
orry la ville   coye;49.13895;2.49
longueil sainte marie;49.342496;2.717367
chevrieres;49.337269;2.682928
pont sainte maxence;49.309872;2.602773
rieux   angicourt;49.29866;2.5214
villers saint paul;49.282284;2.489294
persan   beaumont;49.147938;2.279009
montataire;49.251194;2.436949
compiegne;49.422727;2.824448
bornel   belle eglise;49.194504;2.206882
chambly;49.16357;2.240373
le meux   la croix saint ouen;49.358733;2.752504
thourotte;49.475486;2.881728
ribecourt;49.506158;2.927265
ourscamps;49.533952;2.953821
noyon;49.576825;3.005712
merignac arlac;44.827473;-0.626187
surins;46.835;1.565556
mehun;46.840833;1.530833
